,a,b,g,d,l,k,r_V1,r_V2,r_I,distances
0,0.92,0.4904401511941533,0.09436743151992447,0.862459284618113,0.1507212881024947,0.047619047619047616,0.2613448580504517,0.1651073625268505,0.10581701804406968,0.03896117132990276
1,0.92,0.3967832263172066,0.21113653286259332,0.48186338911422455,0.19847185824522307,0.047619047619047616,0.24581158842648956,0.16224217501118463,0.10381293692917744,0.024854567815138846
2,0.92,0.0649887105891335,0.07699244192863333,0.6982428662653767,0.10988881758123165,0.047619047619047616,0.32130681667456357,0.2619484657761527,0.13020950126614164,0.05020872568898072
3,0.92,0.3654657766765155,0.21415507802794753,0.6463122556243729,0.14047991275282626,0.047619047619047616,0.0893368670311648,0.08401816438680319,0.10481200678117623,0.028430594112846392
4,0.92,0.09117875671323447,0.07657095841672618,0.18296590142251634,0.0641636145166462,0.047619047619047616,0.14523459691322813,0.02102847758621686,0.09097732648961193,0.03354106668924265
5,0.92,0.09406708984012538,0.24212417237635542,0.12359752663474854,0.11616722706650612,0.047619047619047616,0.37150348315381787,0.15477217018349296,0.11168698323556014,0.045553393970483455
6,0.92,0.5122419163957326,0.08111258879041927,0.3789244630881231,0.06455224419224681,0.047619047619047616,0.04110350258424417,0.011363074206958753,0.07456330304201007,0.05178219403401567
7,0.92,0.4327614179113592,0.20174507334264147,0.6351976352952518,0.15338740577881457,0.047619047619047616,0.17560584408133992,0.07158316693853717,0.09881906914758878,0.02188643780448735
8,0.92,0.19532176488846004,0.1726679153152738,0.3183719456324623,0.12539140315539704,0.047619047619047616,0.23035187949734773,0.21117189892962526,0.13707128851832315,0.05822759591654776
9,0.92,0.24424947195644764,0.233387089971829,0.4882369884143959,0.03729378650310569,0.047619047619047616,0.45194007851608087,0.2937816313897694,0.13883228598885466,0.041518571457846605
10,0.92,0.6458049292552062,0.1681217003961749,0.6983219774183645,0.09167805329323317,0.047619047619047616,0.1508405188264451,0.06382562344898371,0.09348395847442453,0.05741927899383187
11,0.92,0.10262858230727148,0.20960977519361446,0.6221864709447738,0.08653254416624384,0.047619047619047616,0.43912121602481263,0.38971628996253,0.1739453830220435,0.038223063945714224
12,0.92,0.32977159290999414,0.18039103515556176,0.30352740007602186,0.1748449528491191,0.047619047619047616,0.41010922609308464,0.1211658607756418,0.11476488033729645,0.05845694204076992
13,0.92,0.2054488700852659,0.06932479953994466,0.5786571231650216,0.15458564616549048,0.047619047619047616,0.34737822064028334,0.3447884022454778,0.11642907402594531,0.05677982417198222
14,0.92,0.15418843499053395,0.16322023483877085,0.4782096793661965,0.23543252592240446,0.047619047619047616,0.36470621958466226,0.17356377802709796,0.11825862904771281,0.051609925545501034
15,0.92,0.6863318110758465,0.14479628100221634,0.5574830288815887,0.10675497555575747,0.047619047619047616,0.28256114879010613,0.12763567518124408,0.0576450506369725,0.03533463830232403
16,0.92,0.5004750116160106,0.059089173593649916,0.9200287190758334,0.15322414672018284,0.047619047619047616,0.33658495687971307,0.28508904366534144,0.08971952035840453,0.040613767550220725
17,0.92,0.40009094967023173,0.0857382169745696,0.31041113826816835,0.10668853685763288,0.047619047619047616,0.3889252164391065,0.005704621657854497,0.05999590706312478,0.04447355171740515
18,0.92,0.08441822164430768,0.21294715365323375,0.5306368407012145,0.03767764736521542,0.047619047619047616,0.4878094382224358,0.42783878368407535,0.1663249880487315,0.034083743773695295
19,0.92,0.18118136262443052,0.06718397358979838,0.9845858190140484,0.12648925499628333,0.047619047619047616,0.3064975157654891,0.008682555247432269,0.12853324486120435,0.058746800141977994
20,0.92,0.42347333399666065,0.13397852684967732,0.7189276870999737,0.14677440206774944,0.047619047619047616,0.46866470028295454,0.4392761590381514,0.09656655553256399,0.05725589716841869
21,0.92,0.29483898187340624,0.17804666553855536,0.5588910750553526,0.18224455542581064,0.047619047619047616,0.49474645999638667,0.24070628235495908,0.14618612088429261,0.04144840855212256
22,0.92,0.47272297578480676,0.1897731508857931,0.64182320501011,0.05435493208272549,0.047619047619047616,0.2109642252339914,0.10763844375558064,0.0973043960797978,0.045121052391470025
23,0.92,0.6477216004032934,0.12757358635614952,0.44172521671129383,0.12390943957718578,0.047619047619047616,0.011983950818818815,0.0007892117711956526,0.0674299067558745,0.05785317128946734
24,0.92,0.2447379660919457,0.12016341179834729,0.841159134810288,0.22254572465904465,0.047619047619047616,0.3528881037585856,0.025174537022515906,0.13075480277283338,0.04434688350178442
25,0.92,0.8081141507890226,0.0705984187212621,0.8465554878664817,0.22289922163138778,0.047619047619047616,0.20143303117145397,0.15787071534549058,0.08524157086533952,0.022477792847167718
26,0.92,0.8059776360447165,0.22095472896570417,0.881758860507733,0.23956708791146963,0.047619047619047616,0.04485830989042359,0.015026928661300837,0.08709469178005785,0.03807703823918883
27,0.92,0.8683724010786935,0.05107976773104248,0.519920592363125,0.15162849378864043,0.047619047619047616,0.14846138173924492,0.11982236247281351,0.05427019082741761,0.05592820282266503
28,0.92,0.05174329629486296,0.21899348152230558,0.2527862780909297,0.10716267613646241,0.047619047619047616,0.1696802974246587,0.10825725177719187,0.12780640922599432,0.0411389294740566
29,0.92,0.5995466584030829,0.20505844513199262,0.9645692212346582,0.23587403427109896,0.047619047619047616,0.47634822926594966,0.1274688320200261,0.11314895434845969,0.033089236950395624
30,0.92,0.0806594118900989,0.08060869573802767,0.36134081886788905,0.15619296591789442,0.047619047619047616,0.03975251293517075,0.021389222167095844,0.11082585904940119,0.05256500510536377
31,0.92,0.656062948822307,0.17143899513440153,0.9888465380947388,0.0806070928654121,0.047619047619047616,0.17991156417624177,0.11878907599481256,0.08075891741711197,0.03784647419296877
32,0.92,0.12712636404531277,0.17371770823683869,0.6986130768234502,0.065578598500865,0.047619047619047616,0.14942321764000413,0.12511594437572268,0.12227502016680582,0.03674956811042841
