,Date,True_Daily_Cases,True_Cumulative_Cases,True_Daily_Pct_Positive,True_Daily_Cases_Chld,True_Cumulative_Cases_Chld,True_Daily_Pct_Positive_Chld,Mean_Daily_Cases,Median_Daily_Cases,High_Daily_Cases,Low_Daily_Cases,Mean_Cumulative_Cases,High_Cumulative_Cases,Low_Cumulative_Cases,Mean_Prob,High_Prob,Low_Prob,Mean_Daily_Cases_NoVac,Median_Daily_Cases_NoVac,High_Daily_Cases_NoVac,Low_Daily_Cases_NoVac,Mean_Cumulative_Cases_NoVac,High_Cumulative_Cases_NoVac,Low_Cumulative_Cases_NoVac,Mean_Prob_NoVac,High_Prob_NoVac,Low_Prob_NoVac,Mean_Daily_Cases_OnlyOneDose,Median_Daily_Cases_OnlyOneDose,High_Daily_Cases_OnlyOneDose,Low_Daily_Cases_OnlyOneDose,Mean_Cumulative_Cases_OnlyOneDose,Median_Cumulative_Cases_OnlyOneDose,High_Cumulative_Cases_OnlyOneDose,Low_Cumulative_Cases_OnlyOneDose,Mean_Prob_OnlyOneDose,Median_Prob_OnlyOneDose,High_Prob_OnlyOneDose,Low_Prob_OnlyOneDose,Mean_Daily_Children,Median_Daily_Children,High_Daily_Children,Low_Daily_Children,Mean_Cumulative_Cases_Children,Median_Cumulative_Cases_Children,High_Cumulative_Cases_Children,Low_Cumulative_Cases_Children,Mean_Daily_Children_NoVac,Median_Daily_Children_NoVac,High_Daily_Children_NoVac,Low_Daily_Children_NoVac,Mean_Cumulative_Cases_Children_NoVac,Median_Cumulative_Cases_Children_NoVac,High_Cumulative_Cases_Children_NoVac,Low_Cumulative_Cases_Children_NoVac,Diff_NoVac_Mean,Diff_NoVac_Low,Diff_NoVac_High,Diff_OneDose_Mean,Diff_OneDose_Low,Diff_OneDose_High,Diff_NoVac_Chld_Mean,Diff_NoVac_Chld_Low,Diff_NoVac_Chld_High
0,2021-02-15,5147,728939,0.07637518362986155,3011,474421,0.06557912619244675,4178.52791477609,4161.5,5460.0,2866.7,727970.5279147761,729252.0,726658.7,0.06199951330639598,0.08096180675455782,0.042625053178786565,6157.042513316236,6095.5,8420.3,4085.85,729949.0425133163,732212.3,727877.85,0.09134872075196647,0.12484614901892525,0.060733938285539635,4258.795521799171,4247.0,5531.15,2978.0,728050.7955217991,728039.0,729323.15,726770.0,0.06319573056894673,0.06290891897584121,0.08198429411266275,0.04421218909825911,2847.7335766423357,2835.0,3723.0,1956.85,474257.73357664235,474245.0,475133.0,473366.85,4195.426218188992,4161.0,5742.0,2783.0,475605.426218189,475571.0,477152.0,474193.0,1010.0425133162644,-1061.1500000000233,3273.3000000000466,-888.2044782008743,-2169.0,384.1500000000233,1184.426218189008,-228.0,2731.0
1,2021-02-16,4523,733462,0.06409239053422135,2629,477050,0.054620626610155404,4695.45926218189,4654.0,5990.299999999999,3494.85,732665.987176958,735171.15,730223.5499999999,0.06652743351549834,0.08485025595165022,0.04970627942925134,8868.978102189782,8360.5,14319.749999999998,5279.7,738818.020615506,746032.05,733346.25,0.1256731609450468,0.20282798534237814,0.07485309024370358,4904.673406983626,4856.0,6294.15,3677.85,732955.4689287829,732887.0,735516.3,730565.0,0.06950341385327698,0.0688476954078044,0.08915321053166554,0.05218765394886378,3202.8658512527127,3175.5,4083.0,2383.0,477460.59942789504,477418.5,479173.15,475801.85,6048.152298283685,5696.0,9775.0,3594.85,481653.57851647265,481349.0,486606.15,477927.55,5356.020615505986,-115.75,12570.050000000047,-506.53107121714856,-2897.0,2054.3000000000466,4603.578516472655,877.5499999999884,9556.150000000023
2,2021-02-17,4022,737484,0.0657769927713996,2395,479445,0.059736113536028736,4142.520812783587,4116.5,5223.0,3167.0,736808.5079897415,740328.15,733507.7000000001,0.0677433996089603,0.08511344636951836,0.05181434707695873,10407.541724205958,8996.0,20739.799999999996,5105.0,749225.5623397119,766153.2000000001,738693.7000000001,0.17019688975979258,0.3395771103440338,0.08344230364917346,4457.842671138292,4404.0,5774.15,3334.0,737413.3115999211,737299.0,741115.45,734045.8500000001,0.07289722668420663,0.0719816437569733,0.09411414139860973,0.05466338610422741,2716.413691063326,2695.5,3419.0,2071.0,480177.0131189584,480118.0,482532.0,477944.0,6823.088873545078,5896.0,13612.3,3353.7,488476.66739001777,487359.0,499738.35,481435.85,11741.562339711934,1209.7000000000698,28669.20000000007,-70.68840007891413,-3438.149999999907,3631.4499999999534,9031.66739001777,1990.8499999999767,20293.349999999977
3,2021-02-18,3245,740729,0.06532724015058483,1866,481311,0.056871171253543025,3363.0388636811995,3353.5,4175.15,2593.0,740171.5468534228,744415.45,736228.7000000001,0.06770573561096005,0.0839282662171496,0.05228997812642438,11062.555533635825,8894.5,25143.6,4479.0,760288.1178733478,790929.25,743377.65,0.22267343060297834,0.5063372151600287,0.09032512530741023,3737.296212270665,3670.0,4998.0,2747.0,741150.6078121917,741001.5,745872.75,736961.8500000001,0.07525867258900047,0.07384391369390303,0.1005186552120527,0.05543992903293547,2221.0022686920497,2217.0,2758.0,1712.0,482398.0153876504,482318.0,485227.14999999997,479739.85,7306.555928190965,5867.0,16596.3,2957.3999999999996,495783.2233182087,493272.5,516198.55000000005,484540.95,19559.11787334783,2648.6500000000233,50200.25,421.60781219170894,-3767.149999999907,5143.75,14472.223318208707,3229.9500000000116,34887.55000000005
4,2021-02-19,3720,744449,0.06197004781022506,2142,483453,0.059561215693907626,4036.166403629907,4036.0,4959.15,3129.85,744207.7132570527,749241.75,739496.55,0.06724233650505343,0.08241198147691747,0.052230958003152014,16665.512724403234,12884.5,39922.34999999999,5774.0,776953.630597751,830518.25,749338.6,0.2775973910585287,0.6640442574294534,0.09641146696894316,4635.878477017163,4498.0,6474.749999999998,3323.0,745786.4862892089,745582.5,751779.75,740468.85,0.07723710068850279,0.07503812734769127,0.10798997533964946,0.055501574379375127,2417.318899191162,2418.0,2967.1499999999996,1872.0,484815.33428684156,484743.5,488136.14999999997,481704.69999999995,9984.228052870389,7727.5,23881.499999999996,3466.85,505767.45137107914,500970.0,539868.3,488120.7,32504.630597751006,4889.599999999977,86069.25,1337.4862892088713,-3980.1500000000233,7330.75,22314.451371079136,4667.700000000012,56415.30000000005
5,2021-02-20,1239,745688,0.0662566844919786,719,484172,0.06326440827100747,1245.8362596172815,1250.0,1522.1499999999996,965.0,745453.5495166699,750706.05,740526.0,0.06663705803411184,0.08101499709939826,0.05194744558610582,6167.926316827777,4739.0,14689.049999999997,1903.0,783121.5569145788,844860.55,751344.1,0.32979771286039744,0.7854085337472371,0.10133004813755811,1476.2224304596568,1417.0,2144.0,1031.0,747262.7087196686,747035.0,753730.95,741564.25,0.07895864555550335,0.07581094908263748,0.11484268236596175,0.05539416449887481,757.795719076741,758.0,929.0,586.0,485573.1300059183,485498.0,489027.44999999995,482313.7,3748.546360228842,2886.0,8928.449999999999,1151.0,509515.9977313079,503857.5,548506.7,489315.55,37433.556914578774,5656.099999999977,99172.55000000005,1574.7087196685607,-4123.75,8042.949999999953,25343.99773130793,5143.549999999988,64334.69999999995
6,2021-02-21,3026,748714,0.06362890846773346,1791,485963,0.060531296471542526,3137.586210297889,3151.5,3804.0,2444.0,748591.1357269678,754365.5,743075.8500000001,0.06596671553525009,0.07978305130270959,0.05145603939987901,17910.899388439535,14064.5,41134.450000000004,5017.85,801032.4563030184,885731.45,756491.25,0.3766199604726719,0.8651637940328479,0.10573367827747875,3822.912014203985,3627.5,5766.15,2620.85,751085.6207338725,750782.5,758896.9,744320.55,0.08038849804388042,0.07633563908364945,0.12136332961740082,0.05518065883743094,1951.8878477017163,1961.0,2368.1499999999996,1516.85,487525.01785362005,487446.0,491286.15,483935.0,11143.509962517262,8738.5,25592.799999999996,3130.7,520659.50769382523,512471.5,573890.4,492557.4,52318.45630301838,7777.25,137017.44999999995,2371.6207338725217,-4393.449999999953,10182.900000000023,34696.50769382523,6594.400000000023,87927.40000000002
7,2021-02-22,4711,753425,0.07060639669074667,2697,488660,0.06326530612244897,4353.869994081673,4374.0,5266.0,3398.0,752945.0057210495,759432.6000000001,746684.55,0.06524683018267066,0.07879918028635284,0.05097192594924232,27852.154172420596,22491.5,60989.149999999994,7303.4,828884.610475439,946903.1,764199.85,0.4174545973682736,0.9138962247190896,0.1094870538644466,5437.485697376208,5112.0,8436.449999999999,3656.0,756523.1064312487,756064.5,766801.8999999999,748132.85,0.08148283661396777,0.07662829923140242,0.12661375870622202,0.05496376039538378,2781.4573880449793,2797.0,3363.0,2164.0,490306.47524166503,490229.0,494545.3,486226.25,17795.22144407181,14376.5,38973.25,4667.85,538454.729137897,526777.5,613011.5,497470.6,75459.610475439,10774.849999999977,193478.09999999998,3098.106431248714,-5292.150000000023,13376.899999999907,49794.729137897026,8810.599999999977,124351.5
8,2021-02-23,4390,757815,0.062206855507219674,2497,491157,0.05335812124708849,4551.178536200434,4576.0,5499.15,3548.0,757496.1842572499,764766.5,750362.7,0.06448378315892736,0.07799418119631603,0.05030372424151985,31943.8225488262,26746.5,66620.05,7975.4,860828.4330242651,1013472.3,772504.0,0.4526783565601571,0.9443233291593662,0.11314227450007004,5801.490727954231,5410.0,9193.0,3854.0,762324.597159203,761608.0,775635.75,752088.7,0.08223074859094312,0.07672822608252412,0.1299931980020194,0.05465662596727341,3017.909449595581,3030.0,3659.0,2350.0,493324.3846912606,493273.5,498080.3,488680.85,21184.307457092127,17774.0,44184.15,5301.499999999998,559639.0365949891,544513.0,657049.4,502990.39999999997,103013.4330242651,14689.0,255657.30000000005,4509.5971592030255,-5726.300000000047,17820.75,68482.03659498913,11833.399999999965,165892.40000000002
9,2021-02-24,4282,762097,0.059015670438413936,2471,493628,0.055060385935202114,4621.364864864865,4635.0,5631.0,3594.0,762117.5491221148,770183.6,754118.7000000001,0.06368780767703507,0.07742498199600081,0.04961606010659927,35043.88370487276,30580.0,69821.3,8446.849999999999,895872.3167291379,1083243.6,781181.7000000001,0.48298615597269823,0.9624673874395511,0.11659644109370788,5997.482442296311,5561.0,9669.599999999999,3932.0,768322.0796014993,767307.0,784748.15,756143.0,0.0826523971665203,0.07660135904719059,0.13336686417965646,0.0543111485463465,2858.806470704281,2864.0,3482.0,2223.0,496183.1911619649,496139.5,501437.15,491007.7,21676.24768198856,18943.0,43200.15,5227.85,581315.2842769778,563596.0,700141.5499999999,508392.45,133775.3167291379,19084.70000000007,321146.6000000001,6225.079601499252,-5954.0,22651.150000000023,87687.28427697776,14764.450000000012,206513.54999999993
