,a,b,rho
1035,0.7666371162724646,0.8681562973812699,0.0021227427952665435
1036,4.65062261651265,4.7403096129219415,7.390068248668946e-05
1037,1.1144921864584336,1.215218843951394,0.001037474336129124
1038,5.091810692829969,5.173088629425308,6.702875698782252e-05
1039,1.7621136991241406,1.853345817677876,0.00048334223625656314
1040,4.4262690589620695,4.519127344659199,8.374426009810976e-05
1041,1.7358755750273596,1.825436220855913,0.00052056028140826
1042,3.5839956739381202,3.674439377635695,0.00012864501847474787
1043,1.3580155249631336,1.4620416988947162,0.0007587940957436224
1044,1.093487918113024,1.1923868347510864,0.0010896768546440284
1045,2.0111807513467577,2.106244927626827,0.0003758728154497515
1046,4.144189996450358,4.236283836528665,9.89406343535848e-05
1047,4.854773954213641,4.947551207471048,6.93246086228716e-05
1048,1.416324033507253,1.5122119479671579,0.0007484091366962454
1049,0.8833529455124288,0.9771719256202751,0.0016633267117305607
1050,0.4596980482923653,0.5595918272803654,0.0052176835675297765
1051,5.312543319350184,5.40562157024193,5.491635122723548e-05
1052,3.2438581673955986,3.3420803667225027,0.00014609497438547447
1053,1.6461662475481285,1.739224334243975,0.0005240625011415168
1054,0.5961206650182578,0.6954254504665677,0.0031727258726526966
1055,1.118086957976355,1.2196075484560218,0.0010780800331203634
1056,0.9876589612725529,1.0833490653167637,0.0013898419793301785
1057,4.455389959753845,4.545215288670576,7.778739699416892e-05
1058,2.1551080343999165,2.253896748438932,0.00032911083252134876
1059,2.4203054128631667,2.51802179331484,0.00025412133384109084
1060,0.724434078638408,0.817360579592287,0.0025824251201580295
1061,2.8230962728426294,2.9089400331332036,0.0001998988483787123
1062,0.7941198981473706,0.888098349634301,0.002044428816081949
1063,2.042774718440368,2.135413107673051,0.00036004390553975754
1064,6.063562646667487,6.159506198181754,4.2379213455624455e-05
1065,1.113124225275665,1.2102009736716453,0.0011049529242114198
1066,1.666832684733204,1.7496592660993542,0.000575627952346106
1067,1.634969276232814,1.728022016612193,0.0005678485311421289
1068,2.4106739809190594,2.499118915673074,0.00028689887329673815
1069,1.1948599094039376,1.2840882952085653,0.0010724483968535814
1070,4.238259220568613,4.3275205037894775,9.27826752794514e-05
1071,4.2434299943174905,4.330397969384406,8.439873236362305e-05
1072,1.5766766300633068,1.6660497070914608,0.0006417215251835585
1073,2.185507102667185,2.2787668038172244,0.0003135865067659083
1074,1.005177698745781,1.0928877183698524,0.0014014889984416978
1075,3.3361493234331507,3.429925289993486,0.00014054612031603965
1076,4.5179602085443005,4.604762607480679,8.251948475547444e-05
1077,0.9881630586385038,1.087380180224368,0.001467021062502526
1078,5.7675126885641435,5.859368636223245,4.970960760392496e-05
1079,2.1396688210948844,2.234337235794959,0.0003515957712964346
1080,2.1144448861802703,2.2130773703337456,0.00033461910954129983
1081,1.8653964452524328,1.9564231050064904,0.00046066068882016144
1082,3.566936711306001,3.6594598088806283,0.00012519586673308768
1083,0.694361517771168,0.7921579542747088,0.0025499440723278787
1084,4.428345971142068,4.519914035003015,8.62708789928468e-05
1085,1.24940620137148,1.3460179645447947,0.0008972601180179252
1086,1.4761020193090237,1.5693342733329023,0.0006902790640595047
1087,0.7113887985512299,0.8096274937344852,0.0024612849211316313
1088,0.8803434498914876,0.9793336993290315,0.0016308097470409278
1089,2.629001898605775,2.729535659021178,0.0002222891766494095
1090,2.145689382681442,2.227421626878674,0.00035591523537918614
1091,1.5076953488574094,1.5985237051562255,0.000656166328999539
1092,1.8705840246874725,1.9511613480812373,0.00043615080992151836
1093,5.036408353424859,5.121496051039316,6.32168575426706e-05
1094,5.068963138815986,5.153927727032213,6.681718895474753e-05
1095,1.4615700470324844,1.5556560788169802,0.0007159785838179944
1096,2.30960036650602,2.4048348763490552,0.000286106468246341
1097,2.1949494601672304,2.2887839418387514,0.00030431132987025934
1098,2.6159458673834797,2.7109730069479316,0.000240013828952409
1099,1.178735476512989,1.270608309599609,0.0010519067433891439
1100,3.5606997817972017,3.6447303546261143,0.00013511810635465028
1101,1.7205852457437358,1.8172584875312807,0.0005253893259332476
1102,2.0764561754147994,2.1700116599221264,0.00035857208062157087
1103,4.4412710587486295,4.5325445611953565,8.648188123214996e-05
1104,1.798423807848913,1.8825302345067667,0.000500400724609641
1105,3.191123691061291,3.2842695784484848,0.000164348563121659
1106,1.8146055315235285,1.9096353717878796,0.00044550706235016116
