,Date,True_Daily_Cases,True_Cumulative_Cases,True_Daily_Pct_Positive,True_Daily_Cases_Chld,True_Cumulative_Cases_Chld,True_Daily_Pct_Positive_Chld,Mean_Daily_Cases,Median_Daily_Cases,High_Daily_Cases,Low_Daily_Cases,Mean_Cumulative_Cases,High_Cumulative_Cases,Low_Cumulative_Cases,Mean_Prob,High_Prob,Low_Prob,Mean_Daily_Cases_NoVac,Median_Daily_Cases_NoVac,High_Daily_Cases_NoVac,Low_Daily_Cases_NoVac,Mean_Cumulative_Cases_NoVac,High_Cumulative_Cases_NoVac,Low_Cumulative_Cases_NoVac,Mean_Prob_NoVac,High_Prob_NoVac,Low_Prob_NoVac,Mean_Daily_Cases_OnlyOneDose,Median_Daily_Cases_OnlyOneDose,High_Daily_Cases_OnlyOneDose,Low_Daily_Cases_OnlyOneDose,Mean_Cumulative_Cases_OnlyOneDose,Median_Cumulative_Cases_OnlyOneDose,High_Cumulative_Cases_OnlyOneDose,Low_Cumulative_Cases_OnlyOneDose,Mean_Prob_OnlyOneDose,Median_Prob_OnlyOneDose,High_Prob_OnlyOneDose,Low_Prob_OnlyOneDose,Mean_Daily_Children,Median_Daily_Children,High_Daily_Children,Low_Daily_Children,Mean_Cumulative_Cases_Children,Median_Cumulative_Cases_Children,High_Cumulative_Cases_Children,Low_Cumulative_Cases_Children,Mean_Daily_Children_NoVac,Median_Daily_Children_NoVac,High_Daily_Children_NoVac,Low_Daily_Children_NoVac,Mean_Cumulative_Cases_Children_NoVac,Median_Cumulative_Cases_Children_NoVac,High_Cumulative_Cases_Children_NoVac,Low_Cumulative_Cases_Children_NoVac,Diff_NoVac_Mean,Diff_NoVac_Low,Diff_NoVac_High,Diff_OneDose_Mean,Diff_OneDose_Low,Diff_OneDose_High,Diff_NoVac_Chld_Mean,Diff_NoVac_Chld_Low,Diff_NoVac_Chld_High
10,2021-01-18,10114,559480,0.1020729467331409,6028,374994,0.0882460583524865,8318.077234168475,8265.0,9934.0,6849.7,565917.7240086802,582081.15,548152.4,0.0839437710409823,0.10015468292825784,0.06917785889958422,52312.81061353324,47728.0,96955.9,13490.25,839987.7016176761,1217734.3,598722.7,0.5279658869400952,0.9786465806298277,0.13611613683129387,10357.556125468534,9489.5,16936.899999999998,7233.7,577770.6010061156,575838.5,612634.8,553120.0,0.10452815921543894,0.09580879832494946,0.1710436415821455,0.07299444628684054,5733.096468731505,5693.5,6851.0,4721.85,382794.3252120734,383071.5,393409.05,371194.85,36065.63069638982,32955.5,66843.15,9315.0,565115.9130005918,526968.5,815877.4,404706.5,280507.70161767607,39242.69999999995,658254.3,18290.601006115554,-6360.0,53154.80000000005,190121.9130005918,29712.5,440883.4
11,2021-01-19,8621,568101,0.09246031746031746,5211,380205,0.07710747103475829,7778.543302426514,7723.0,9322.15,6416.0,573696.2673111068,591085.15,554832.3,0.0834318231070698,0.0999273182398779,0.06884679165782562,51108.2791477609,48341.0,91837.05,12926.599999999999,891095.980765437,1309049.95,612332.8,0.5481325644077585,0.9849429632208675,0.13876630705422094,9799.237423554941,8934.0,16347.449999999999,6796.0,587569.8384296705,584893.5,627878.1499999999,560098.7,0.10508815296381575,0.09570154968853206,0.17529504305707264,0.07270200661621115,5638.377293351746,5594.0,6762.0,4647.85,388432.70250542514,388684.0,399934.0,376029.25,37041.925527717496,34993.0,66561.0,9356.7,602157.8385283094,562488.5,882187.5,414491.85,322994.980765437,44231.80000000005,740948.95,19468.838429670548,-8002.300000000047,59777.14999999991,221952.83852830937,34286.84999999998,501982.5
12,2021-01-20,8360,576461,0.0923032758830089,5058,385263,0.07733235482983213,7503.346123495759,7447.0,9001.599999999999,6196.0,581199.6134346025,599747.3,561265.7,0.08286245220448617,0.09941416746460557,0.06844553634635354,51233.89060958769,49978.0,89557.15,12778.4,942329.8713750247,1398236.6,625544.35,0.5656622910840213,0.988856811298283,0.1409648119766591,9544.727165121325,8648.5,16061.499999999996,6571.0,597114.5655947919,593741.5,643725.0999999999,566831.8,0.10538924673878881,0.09550942635431266,0.17724605499211712,0.07248004577146647,5420.125271256658,5374.0,6513.0,4482.0,393852.8277766818,394053.5,406201.15,380643.55,36995.73219569935,36121.0,64679.15,9213.7,639153.5707240087,598460.5,946594.15,423959.6,365868.87137502467,49083.34999999998,821775.6000000001,20653.5655947919,-9629.199999999953,67264.09999999986,253890.57072400872,38696.59999999998,561331.15
13,2021-01-21,7270,583731,0.09077968133459867,4332,389595,0.07526452038848445,6586.649339120142,6525.5,7918.15,5446.0,587786.2627737226,607352.1,566859.7,0.08225365314390272,0.09894670056282259,0.06798029609450397,46528.38774906293,46738.5,79395.3,11447.0,988858.2591240876,1477511.35,636994.5,0.5809952655495554,0.9914926877797312,0.1430601998457285,8446.758433616098,7617.0,14326.15,5785.0,605561.3240284079,601477.5,658241.15,572754.0499999999,0.10547540204702,0.09513862746561441,0.17853660245039923,0.07225836311838167,4734.039751430262,4691.5,5707.0,3910.0,398586.8675281121,398689.0,411720.14999999997,384630.0,33440.60860130203,33651.5,57067.15,8235.85,672594.1793253107,631982.0,1003510.6499999999,432083.55000000005,405127.25912408764,53263.5,893780.3500000001,21830.324028407922,-10976.95000000007,74510.15000000002,282999.17932531075,42488.55000000005,613915.6499999999
14,2021-01-22,7388,591119,0.08857875932187133,4187,393782,0.07084003045427628,6807.413395146972,6734.0,8196.15,5621.0,594593.6761688696,615322.6,572765.55,0.08162166587545314,0.09821541765615377,0.06746097772068795,49582.84040244624,51156.0,82863.15,12088.05,1038441.0995265339,1560070.5499999998,649030.65,0.5944821026381557,0.9934601748564191,0.1449778734132783,8790.133754192148,7904.5,14987.3,6004.0,614351.4577826001,609471.0,672203.3,578814.55,0.1053869517473654,0.09464692499233718,0.17957136514526045,0.07200583062684399,4825.0990333399095,4770.5,5824.0,3982.85,403411.96656145196,403492.0,417343.9,388766.25,35136.4280923259,36211.5,58721.149999999994,8561.7,707730.6074176367,668016.0,1061855.3,440882.9,447322.09952653386,57911.65000000002,968951.5499999998,23232.457782600075,-12304.449999999953,81084.30000000005,313948.60741763667,47100.90000000002,668073.3
15,2021-01-23,2447,593566,0.08133351060293824,1547,395329,0.07116242697456185,2436.5773328072596,2412.0,2945.1499999999996,2004.0,597030.2535016768,618156.8500000001,574846.8,0.08098015024831001,0.09759128987589459,0.06688387480774659,18244.813572696785,19272.0,29929.0,4422.25,1056685.9130992307,1589924.45,653732.4,0.6064050507102862,0.9948759494443706,0.14678102942714155,3163.7752022095087,2837.5,5417.299999999999,2159.0,617515.2329848097,612324.0,677771.15,581006.65,0.10515909640576956,0.09419724476397884,0.18027087227781882,0.07168090391764216,1760.4925034523574,1742.0,2131.0,1447.0,405172.4590649043,405252.0,419404.6,390294.95,13181.946537778655,13916.0,21628.0,3184.85,720912.5539554153,682202.5,1083491.2,444069.0,463119.91309923073,60166.40000000002,996358.45,23949.23298480967,-12559.349999999977,84205.15000000002,325583.55395541526,48740.0,688162.2
16,2021-01-24,4945,598511,0.09382055514447796,3100,398429,0.08388580706264376,4235.242059577826,4190.0,5128.299999999999,3479.85,601265.4955612547,623103.3,578481.55,0.08034004875234818,0.09715414223310417,0.06618024469919533,32520.70122312093,34998.5,52489.149999999994,7821.099999999999,1089206.6143223515,1642438.0999999999,661528.7,0.6169931621247103,0.9958551873030663,0.14858387818516564,5524.223614125074,4942.5,9536.3,3755.85,623039.4565989347,617387.5,687012.4500000001,584827.2,0.10482164181042276,0.0937263018365759,0.1805839753184592,0.07138892822750284,2969.0478398106134,2935.0,3596.0,2434.0,408141.5069047149,408185.0,422904.60000000003,392828.0,22800.376208325113,24533.5,36802.15,5503.0,743712.9301637404,707039.5,1120145.65,449745.0,490695.6143223515,63017.69999999995,1043927.0999999999,24528.456598934717,-13683.800000000047,88501.45000000007,345283.9301637404,51316.0,721716.6499999999
17,2021-01-25,8724,607235,0.09865876552145296,4922,403351,0.07998699926870886,7048.20368909055,6973.5,8565.15,5779.0,608313.6992503452,631408.9500000001,584510.55,0.07970979965074831,0.09658455392103601,0.06536567956804329,55392.139277964096,60497.5,88125.15,13260.1,1144598.7536003157,1730568.35,675352.15,0.6264334792317406,0.9966255295154751,0.15003648670039257,9231.984119155652,8245.0,15985.549999999994,6278.699999999999,632271.4407180904,625815.0,702940.45,591223.8,0.10439934779716456,0.09328344554488785,0.1808171057953815,0.0710727605702956,4904.769579798777,4851.5,5947.15,4010.85,413046.2764845137,413027.5,428731.9,397048.7,38548.98757151312,42102.5,61326.0,9228.4,782261.9177352535,748287.0,1181453.5,459070.04999999993,537363.7536003157,68117.15000000002,1123333.35,25036.440718090395,-16011.199999999953,95705.44999999995,378910.91773525346,55719.04999999993,778102.5
18,2021-01-26,7787,615022,0.09637734074284936,4531,407882,0.0788329041686965,6390.338232392977,6316.0,7775.15,5202.0,614704.0374827383,639079.3,590073.95,0.07909567880750762,0.09615328871810032,0.06454431504608002,51295.44229631091,56807.0,80568.3,12226.449999999999,1195894.1958966265,1810644.4999999998,688062.95,0.6348803479087206,0.9971417422122224,0.15118989343144595,8395.821266521996,7495.0,14596.349999999997,5706.0,640667.2619846123,633430.5,717035.7,597067.1,0.10391252824755537,0.09276096718196297,0.18080959825478632,0.07074560278345483,4546.374235549418,4493.0,5541.15,3705.0,417592.65072006313,417498.0,434184.75,400969.8,36490.27056618663,40407.5,57314.0,8679.8,818752.1883014401,788846.5,1238765.45,468208.5,580872.1958966265,73040.94999999995,1195622.4999999998,25645.261984612327,-17954.900000000023,102013.69999999995,410870.1883014401,60326.5,830883.45
19,2021-01-27,7726,622748,0.09290524290524292,4562,412444,0.07688677655307244,6529.376306963898,6451.5,7975.15,5286.0,621233.4137897021,646868.35,595539.25,0.07850216855019165,0.0956904094246637,0.06363512068486508,53426.61353324127,60017.0,82961.0,12672.0,1249320.809429868,1893206.9000000001,700840.55,0.6424626493674367,0.997560972969,0.15225676356923756,8597.53807457092,7667.0,15015.749999999998,5855.85,649264.8000591833,641208.5,731415.7499999999,603109.4,0.10337771377657817,0.09224490707034443,0.18021236997891807,0.07045320763598209,4657.777964095482,4609.0,5685.0,3765.0,422250.4286841586,422149.5,439781.0,404872.7,38119.662458078514,42807.0,59191.0,9064.1,856871.8507595187,831259.5,1297755.45,477448.1,626572.8094298679,78092.55000000005,1270458.9000000001,26516.800059183268,-19638.599999999977,108667.74999999988,444427.8507595187,65004.09999999998,885311.45
