,a,b,g,d,l,k,r_V1,r_V2,r_I,distances
37,0.92,0.32323518206889224,0.22710077855840677,0.4881186848885175,0.11111907356294237,0.047619047619047616,0.17971753646212565,0.028278929954169578,0.10948045955654982,0.08718426298139004
38,0.92,0.3813207901600088,0.10300523427723529,0.49208298527202265,0.2292601805733204,0.047619047619047616,0.10775528984547074,0.10714993414974146,0.08681209357687825,0.08244032285894909
39,0.92,0.1320585183643847,0.09134272716475265,0.8103762899999585,0.19802266901167287,0.047619047619047616,0.2594164913685284,0.2586496671874474,0.11455895573856761,0.06568967769798123
40,0.92,0.731274094760206,0.1454725964424325,0.993921648995694,0.12592993941938171,0.047619047619047616,0.23038194601351103,0.06522905137070234,0.07755846505021353,0.06461628114945565
41,0.92,0.4754932734284573,0.10068562856749973,0.8781505567068217,0.1513794862683134,0.047619047619047616,0.17193734365080138,0.06574495222469282,0.08538918037762033,0.0583451489864305
42,0.92,0.5407803213320428,0.06707272651087504,0.9207559929742095,0.21342607555967616,0.047619047619047616,0.1161881381544724,0.07223575744134035,0.0755029041313668,0.08586210510996786
43,0.92,0.21041849573636545,0.24559637269394685,0.1319134386834253,0.058260355605774305,0.047619047619047616,0.16357358516409906,0.10048547878162266,0.0774177858537918,0.0654295163048168
44,0.92,0.45117340309897935,0.07045931255154453,0.6107366289376275,0.08613918350308433,0.047619047619047616,0.1885887301864255,0.05639375090916423,0.06615328484124967,0.06351539068655518
45,0.92,0.26728251765392474,0.21953922292474093,0.7316797849327126,0.20422711806326393,0.047619047619047616,0.13030859126787317,0.03811966109727867,0.10276557080530302,0.05519986456250916
46,0.92,0.07086225180614794,0.24314092016321898,0.5108645473560728,0.13125887353781443,0.047619047619047616,0.2268802745835204,0.06530049052549079,0.13810005556040786,0.08105629817727178
47,0.92,0.5980544031508709,0.09926977984158564,0.7202918436558948,0.02197274365657484,0.047619047619047616,0.017421092036713236,0.00340573062679584,0.07367296450229367,0.07679209320886106
48,0.92,0.7390067326922859,0.24124377885035647,0.976478391786273,0.06837784369300662,0.047619047619047616,0.178102940235466,0.17729698992231102,0.08723080039050281,0.058518927276256835
49,0.92,0.10975424218348724,0.15032717214919916,0.35119042485017005,0.236384809603769,0.047619047619047616,0.29510031267314846,0.062407223226315464,0.12525102267965538,0.061581697112718804
50,0.92,0.8460425178051543,0.14079609998142656,0.7289783577795954,0.023998495753061233,0.047619047619047616,0.033259147932312924,0.00825220259782325,0.07100134353356888,0.0824840424670435
51,0.92,0.1797295828198805,0.1526251051935539,0.38884153457621573,0.21197060242020438,0.047619047619047616,0.16844504250664913,0.10803741528937727,0.11928873259488941,0.07457918929205355
52,0.92,0.1626083017297322,0.23574215931209141,0.31235531461279475,0.2063175857595083,0.047619047619047616,0.2521196071458164,0.1056240362124386,0.10012946172662857,0.0725025981495694
53,0.92,0.5413073233665784,0.061912102255321136,0.6250944334433233,0.12540358970476803,0.047619047619047616,0.21886868140581486,0.10130983934485496,0.06522476517817798,0.06886111463634151
54,0.92,0.8666149568469509,0.14784446082147806,0.5851596746177665,0.09545210039335975,0.047619047619047616,0.18994016802431055,0.14554157116456984,0.046169758660260775,0.08505576328400496
55,0.92,0.2485412889485537,0.18932534930781564,0.4197182008208067,0.05456080261505861,0.047619047619047616,0.06980611932266,0.0012524755484412025,0.08083966467567902,0.0690172492486379
56,0.92,0.4682425312816966,0.15769181637252955,0.933507954933426,0.11479767754461323,0.047619047619047616,0.17438316856286998,0.07765675795056076,0.1089700622169457,0.077536774330123
57,0.92,0.25832418582780453,0.17661226890064174,0.5270826969110737,0.027776027179735985,0.047619047619047616,0.21262848393527853,0.07301156120490304,0.0915945907812129,0.05418783962359772
58,0.92,0.4341627390205148,0.10891138210704172,0.9200075882863705,0.03153001307948866,0.047619047619047616,0.22729461546751023,0.038148713441079715,0.0829002724022409,0.037704939942806534
59,0.92,0.1606704349666498,0.12450614224279742,0.5013159741107911,0.15544435944499924,0.047619047619047616,0.06849227321337435,0.0244885034046862,0.09782922248020404,0.05477424125070609
60,0.92,0.34320015767050743,0.09087021944402829,0.2056261063599938,0.042910905148196954,0.047619047619047616,0.1966182097575013,0.0836784741210538,0.05112244461396777,0.06449553714543078
61,0.92,0.591018955898492,0.09329414721798557,0.9836290197490798,0.07561080365291717,0.047619047619047616,0.246887242494043,0.17313142082013774,0.05516000694250358,0.06377317971393434
62,0.92,0.24272916196755823,0.1414476357923703,0.5950556920282547,0.18928352438589024,0.047619047619047616,0.2558649892628444,0.08819527828072386,0.11569337202206051,0.06222204436364964
63,0.92,0.4633683501710926,0.2187404570883067,0.9780932798132026,0.06852875132649708,0.047619047619047616,0.28389818870039596,0.2338221747865472,0.1111169648116058,0.05962807094917394
64,0.92,0.47953925913729273,0.2376759432769462,0.6916341026639765,0.2242589932050434,0.047619047619047616,0.16855137728260947,0.03523276482733429,0.09518444152533108,0.07234574907333016
65,0.92,0.382424919728589,0.21304411153038133,0.1392973436409729,0.018324825198117317,0.047619047619047616,0.229879464861442,0.14218257292734804,0.03918163530764565,0.07107042491740871
66,0.92,0.2432681324428282,0.20252132696649633,0.2885543970527241,0.18745300856972127,0.047619047619047616,0.18596341227531488,0.009632156815763182,0.08137218611226278,0.08269347043227245
67,0.92,0.17030759184817962,0.06627876206924502,0.5458831956306638,0.20528859961395973,0.047619047619047616,0.027972916181750563,0.005406458200935958,0.09685917421640887,0.05906355792483219
68,0.92,0.07242019462468867,0.24484547509308346,0.20175409771635378,0.14375478156810712,0.047619047619047616,0.2535437312334276,0.21552481784942937,0.1239360566236108,0.0516356406846029
69,0.92,0.6769393147375674,0.06770638442604048,0.6750777754797639,0.04109582611987103,0.047619047619047616,0.0767601216892564,0.0013925118128284098,0.07472963932189097,0.07529611985029622
70,0.92,0.26115096717438474,0.06566606015845713,0.9167315494451486,0.16097700156402883,0.047619047619047616,0.26877775476987986,0.1989835767674563,0.11723823099314974,0.047935116585405384
71,0.92,0.18778723876855313,0.1924513493994799,0.32493811070402945,0.0941162125611586,0.047619047619047616,0.08778405736526924,0.05736152095631408,0.09910627790988774,0.06600834023756602
72,0.92,0.546343278239255,0.246140724053514,0.8969661037842861,0.0671158297003954,0.047619047619047616,0.06524833010069647,0.03644537005550762,0.10108066772419622,0.07337411210145359
73,0.92,0.1188112086955083,0.12001504186355086,0.8172896926034544,0.024428538242966452,0.047619047619047616,0.16902511640395226,0.027618713613460345,0.08802964336778615,0.06755688266188886
74,0.92,0.08295483482493221,0.1687536099604809,0.9029032000599225,0.1932233803564909,0.047619047619047616,0.20872189026781743,0.20731832500544567,0.11417532452916215,0.05630255123201571
75,0.92,0.3485623862962022,0.08269475116351735,0.3838061418090545,0.12957869702522468,0.047619047619047616,0.13145186949849308,0.09171668925493807,0.07817991041328469,0.08144442046081217
76,0.92,0.5534179484645717,0.07677514397988582,0.6407371085049288,0.12848482063495045,0.047619047619047616,0.09769812946126716,0.05695825350676521,0.08847076797566275,0.08157735873131129
77,0.92,0.29223585789474227,0.17715844707921896,0.5125743606735191,0.09042341184634536,0.047619047619047616,0.24789330179176022,0.1295113522959158,0.1034268832978738,0.059437817407324935
78,0.92,0.4675726744491235,0.09364239891040338,0.5623846931250791,0.027229072744926225,0.047619047619047616,0.23924882474696196,0.050739466919502006,0.04865083850001884,0.06445251340590123
79,0.92,0.35830345706470146,0.14219194874559704,0.815982860426764,0.07248163563354146,0.047619047619047616,0.085154050996459,0.04892790500314186,0.08114630197973512,0.06609219902482714
80,0.92,0.2965089951968582,0.12593767580566687,0.926589973599645,0.03275274153161967,0.047619047619047616,0.2881017569999876,0.1735897133311999,0.09390763183622608,0.031870681376054345
81,0.92,0.700524362040975,0.11924219730275319,0.9917970327607679,0.173588111357867,0.047619047619047616,0.011242209667776415,0.004584750286082729,0.09768467427286062,0.08141233552282981
82,0.92,0.9835210501976379,0.12747103174978425,0.9865724126449691,0.0008118938645770568,0.047619047619047616,0.1267075515508043,0.06386384248801213,0.04722415555992981,0.05070652361508567
83,0.92,0.3356085359794715,0.053217417081797926,0.741986282387545,0.06418348726089129,0.047619047619047616,0.033089968529441356,0.026056032797667068,0.07802115716247753,0.06717606403944454
